17,22,27,32,37,42,47,52,57,62,Points
1614,1629,1632,1641,1655,1712,1743,1824,1900,1900,85
1605,1620,1624,1632,1646,1704,1734,1815,1853,1853,86
1557,1610,1615,1625,1638,1655,1726,1804,1845,1845,87
1548,1601,1605,1616,1630,1647,1716,1757,1836,1836,88
1539,1553,1558,1607,1620,1638,1707,1748,1825,1825,89
1530,1543,1548,1558,1610,1628,1657,1736,1817,1817,90
1520,1532,1539,1549,1600,1618,1646,1726,1807,1807,91
1511,1523,1530,1539,1551,1606,1636,1716,1757,1757,92
1500,1513,1519,1530,1541,1556,1627,1706,1745,1745,93
1451,1501,1507,1518,1530,1545,1615,1655,1727,1727,94
1440,1450,1457,1506,1519,1533,1602,1642,1714,1714,95
1428,1438,1445,1454,1506,1520,1548,1628,1658,1658,96
1415,1425,1431,1440,1453,1504,1532,1614,1644,1644,97
1400,1408,1415,1425,1437,1448,1514,1555,1622,1622,98
1342,1350,1358,1406,1420,1429,1454,1534,1555,1555,99
1322,1327,1331,1342,1358,1405,1430,1509,1528,1528,100
